n01776313	Any of two families of small parasitic arachnids with barbed proboscis; feed on blood of warm-blooded animals
n01776313	A tiny woodland arachnid of the suborder Ixodida.
n01776313	Order of arachnids
n01776313	Ticks are small arachnids in the order Parasitiformes.
n01784675	Any arthropod of class Chilopoda, which have a segmented body with one pair of legs per segment and from about 20 to 300 legs in total.
n01784675	Any myriapod of the class Chilopoda, a centipede.
n01784675	A segmented arthropod of class Chilopoda.
n01784675	Centipedes are arthropods belonging to the class Chilopoda of the subphylum Myriapoda.
n01784675	Chiefly nocturnal predacious arthropod having a flattened body of 15 to 173 segments each with a pair of legs, the foremost pair being modified as prehensors
n01784675	Class of arthropods
n01795545	A large, black bird with a lyre-shaped tail, Lyrurus tetrix (syn. ).
n01795545	Grouse of which the male is bluish-black
n01795545	Tetrao tetrix, the black grouse.
n01795545	The black grouse.
n01795545	The black grouse or blackgame is a large game bird in the grouse family.
n01796340	Any of three species of small grouse in the genus Lagopus found in subarctic tundra areas of North America and Eurasia.
n01796340	A small grouse, Lagopus.
n01796340	Genus of birds
n01796340	Lagopus is a small genus of birds in the grouse subfamily, commonly known as ptarmigans.
n01796340	Large Arctic and subarctic grouse with feathered feet and usually white winter plumage
n01797886	Medium-sized grouse
n01797886	The ruffed grouse is a medium-sized grouse occurring in forests from the Appalachian Mountains across Canada to Alaska.
n01797886	Valued as a game bird in eastern United States and Canada
n01798484	Brown mottled North American grouse of western prairies
n01806143	Male peafowl; having a crested head and very large fanlike tail marked with iridescent eyes or spots
n01806567	Any of several small game birds.
n01806567	Any of various small game birds of the genera Coturnix, Anurophasis or Perdicula in the Old World family Phasianidae or of the New World family Odontophoridae.
n01806567	Name for several genera of birds in the order Galliformes
n01806567	Quail is a collective name for several genera of mid-sized birds generally considered in the order Galliformes.
n01806567	Small gallinaceous game birds
n01807496	An Old World bird in the pheasant family
n01807496	Any bird of a number of genera in the family Phasianidae, notably in the genera Perdix and Alectoris.
n01807496	Any bird of the genera Perdix or Alectoris.
n01807496	Common name for a type of bird
n01807496	Partridges are birds in the pheasant family, Phasianidae.
n01807496	Small Old World gallinaceous game birds
n01817953	Commonly domesticated grey parrot with red-and-black tail and white face; native to equatorial Africa
n01817953	Species of parrot
n01817953	The African gray parrot, gray parrot or Congo African gray parrot is an Old World parrot in the family Psittacidae.
n01818515	Any of various parrots of the genera Ara, Anodorhynchus, Cyanopsitta, Orthopsittaca, Primolius and Diopsittaca of Central and South America, including the largest parrots and characterized by long sabre-shaped tails, curved powerful bills, and usually brilliant plumage.
n01818515	Colorful New World parrots
n01818515	Long-tailed brilliantly colored parrot of Central America and South America; among the largest and showiest of parrots
n01818515	Macaws are long-tailed, often colourful New World parrots.
n01819313	A large Australian cockatoo, Cacatua galerita, with a yellow erectile crest
n01819313	The sulphur-crested cockatoo is a relatively large white cockatoo found in wooded habitats in Australia and New Guinea and some of the islands of Indonesia.
n01819313	White cockatoo with a yellow erectile crest
n01820546	Any of various small lories
n01824575	A coucal is one of about 30 species of birds in the cuckoo family.
n01824575	Any bird of the genus Centropus in the cuckoo family Cuculidae.
n01824575	Bird of the genus Centropus.
n01824575	Old World ground-living cuckoo having a long dagger-like hind claw
n01828970	Any of various brightly-coloured, insectivorous, near-passerine birds in the family Meropidae, especially the European bee-eater, .
n01828970	Bird in the family Meropidae.
n01828970	Colorful chiefly tropical Old World bird having a strong graceful flight; feeds on especially bees
n01828970	Family of birds
n01828970	The bee-eaters are a group of near-passerine birds in the family Meropidae.
n01829413	Bird of tropical Africa and Asia having a very large bill surmounted by a bony protuberance; related to kingfishers
